ville,pays,date_extraction,timestamp_donnees,temperature,temp_min,temp_max,humidite,pression,vent_vitesse,vent_direction,precipitation,couverture_nuageuse,conditions,timezone,date_donnees,temp_max_moyenne,temp_max_std,temp_min_moyenne,temp_min_std,precipitation_moyenne,precipitation_totale,pluie_moyenne,pluie_totale,neige_moyenne,neige_totale,variabilite_climatique,stabilite_climatique
Antananarivo,MG,2025-07-18 10:32:36,1752823816,18.8,18.8,18.8,46,1024,4.27,123,0,9,ciel dégagé,10800,2025-07-18,24.608036529680366,2.9395508366331455,14.121917808219179,2.957967886096161,3.5522851919561242,3886.2,3.5522851919561242,3886.2,0.0,0.0,5.897518722729306,0.14497967170494408
Moscow,RU,2025-07-18 10:32:35,1752823901,23.51,22.24,24.29,64,1014,4.69,71,0,10,ciel dégagé,10800,2025-07-18,10.810228310502284,11.74722595294347,2.866849315068493,9.878545189195108,1.7847349177330896,1952.5,1.2690127970749543,1388.3,0.36215722120658134,396.2,21.62577114213858,0.04419738862016442
New York,US,2025-07-18 10:32:33,1752823809,26.13,24.6,26.98,60,1013,6.69,310,0,0,ciel dégagé,-14400,2025-07-18,17.67303473491773,9.896081017768033,8.48601462522852,8.990537672120658,3.840622140896615,4197.8,3.7118023787740166,4057.0,0.09023787740164683,98.63,18.886618689888692,0.050285069352109
Paris,FR,2025-07-18 10:32:32,1752823262,22.13,21.16,22.98,73,1015,2.06,120,0,100,couvert,7200,2025-07-18,17.02538812785388,7.527184991957466,9.211415525114155,5.776734788223359,2.6712065813528336,2922.3,2.6355575868372947,2883.3,0.024954296160877514,27.3,13.303919780180824,0.06991090661635117
Sydney,AU,2025-07-18 10:32:34,1752823953,12.9,11.86,13.61,66,1019,7.2,200,0,62,nuageux,36000,2025-07-18,21.634063926940637,4.561881989951337,13.164566210045663,4.66410161202597,2.828336380255941,3094.2,2.828336380255941,3094.2,0.0,0.0,9.225983601977308,0.09779010400590109
São Paulo,BR,2025-07-18 10:32:35,1752823778,14.18,13.38,15.2,74,1019,2.57,330,0,0,ciel dégagé,-10800,2025-07-18,25.51782449725777,4.177684631080278,15.78674588665448,3.3933708873748465,3.6951509606587374,4038.8,3.6951509606587374,4038.8,0.0,0.0,7.5710555184551245,0.11667174455314265
Tokyo,JP,2025-07-18 10:32:34,1752823895,30.03,28.75,30.91,60,1015,9.26,190,0,75,nuageux,32400,2025-07-18,20.995068493150683,8.560458893213477,12.378356164383561,8.970830092145054,4.197166361974405,4591.7,4.135283363802559,4524.0,0.043318098720292506,47.39,17.53128898535853,0.0539627869809863
